Entity,Type,Biome Type
piscary:anchovy,require,ocean
piscary:angelfish,require,jungle
piscary:anglerfish,require,ocean
piscary:anglerfish,require,snowy
piscary:bass,exclude,cold
piscary:bass,exclude,hot
piscary:blue_tang,require,hot
piscary:blue_tang,require,ocean
piscary:bowfin,exclude,hot
piscary:bowfin,exclude,ocean
piscary:butterflyfish,require,ocean
piscary:carp,exclude,hot
piscary:carp,exclude,ocean
piscary:catfish,require,river
piscary:chub,exclude,hot
piscary:chub,exclude,ocean
piscary:damselfish,require,hot
piscary:damselfish,require,ocean
piscary:electric_ray,require,ocean
piscary:goldfish,exclude,hot
piscary:goldfish,exclude,wet
piscary:koi,exclude,hot
piscary:koi,exclude,wet
piscary:lamprey,exclude,cold
piscary:lamprey,exclude,hot
piscary:lungfish,exclude,cold
piscary:lungfish,exclude,ocean
piscary:manta_ray,exclude,snowy
piscary:manta_ray,require,ocean
piscary:minnow,exclude,ocean
piscary:neon_tetra,require,jungle
piscary:northern_pike,require,river
piscary:northern_pike,require,snowy
piscary:perch,require,river
piscary:pickerel,exclude,hot
piscary:pickerel,exclude,ocean
piscary:piranha,require,jungle
piscary:pupfish,exclude,hot
piscary:pupfish,exclude,ocean
piscary:sardine,exclude,hot
piscary:sardine,require,ocean
piscary:siamese_fighting_fish,exclude,hot
piscary:siamese_fighting_fish,exclude,ocean
piscary:silver_stripe_blaasop,require,ocean
piscary:silver_stripe_blaasop,require,snowy
piscary:stingray,require,ocean
piscary:trout,exclude,hot
piscary:tuna,exclude,hot
piscary:tuna,require,ocean
piscary:walleye,exclude,cold
piscary:walleye,exclude,hot
piscary:whitemargin_stargazer,require,hot
piscary:whitemargin_stargazer,require,ocean
